x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy
30,30,-0.4151558,-4.13913202,0,-4,0.99734747,5,0.00023785,0,-0.00046931,0.00296533,-0.00030154
32,30,-0.4152461,-4.14044285,0,-4,0.99749982,5,0.00025832,0,-0.00041006,0.00297044,-0.0003138
34,30,-0.41738743,-4.14177847,0,-4,0.99756676,5,0.0003304,0,-0.00040015,0.0029693,-0.00032759
36,30,-0.41646665,-4.14194775,0,-4,0.99753171,5,0.00028458,0,-0.00038723,0.00295218,-0.00033611
38,30,-0.41609314,-4.14335775,0,-4,0.99742675,4,0.00080903,0,-0.00037254,0.00293292,-0.00034162
40,30,-0.41967022,-4.14526892,0,-4,0.99722666,4,0.00072149,0,-0.00035322,0.00291955,-0.0003631
42,30,-0.42150381,-4.14715147,0,-4,0.99711043,5,0.00023245,0,-0.00033902,0.00290587,-0.00038679
44,30,-0.42107499,-4.14726114,0,-4,0.99702471,4,0.00097691,0,-0.00032348,0.00288168,-0.00040557
46,30,-0.4201408,-4.14648676,0,-4,0.99710703,4,0.00072857,0,-0.00030654,0.00285914,-0.00042601
48,30,-0.42067936,-4.14588785,0,-4,0.99724907,4,0.00078579,0,-0.00029118,0.00283681,-0.00044739
50,30,-0.41853815,-4.14905405,0,-4,0.99732292,4,0.00053405,0,-0.00027061,0.00281193,-0.00047557
52,30,-0.42154017,-4.14980793,0,-4,0.99734408,4,0.00052788,0,-0.00024759,0.00279277,-0.00049831
54,30,-0.42208728,-4.14954376,0,-4,0.99737394,4,0.00084483,0,-0.0002231,0.00277626,-0.00051855
56,30,-0.42150584,-4.14905739,0,-4,0.9973591,4,0.00078413,0,-0.00019538,0.00275604,-0.00052301
58,30,-0.42071378,-4.15133238,0,-4,0.99737245,4,0.00075539,0,-0.00015735,0.00273639,-0.00052051
60,30,-0.42180482,-4.15295839,0,-4,0.99732447,4,0.00077336,0,-0.00014124,0.00272598,-0.00052687
62,30,-0.42136678,-4.15296221,0,-4,0.99742144,5,0.00027715,0,-0.00013901,0.00271623,-0.00053538
64,30,-0.42202708,-4.15422583,0,-4,0.99735713,5,0.00033196,0,-0.00012097,0.0027047,-0.00054658
66,30,-0.42244807,-4.15441656,0,-4,0.99719805,5,0.00025116,0,-0.00011124,0.0027062,-0.0005439
68,30,-0.42153141,-4.15588045,0,-4,0.99709052,5,0.00023878,0,-0.00010718,0.0027125,-0.00052824
70,30,-0.42335975,-4.15835476,0,-4,0.99714303,5,0.00028406,0,-0.00009251,0.00272084,-0.00052097
72,30,-0.42300546,-4.15898991,0,-4,0.9970575,5,0.00023535,0,-0.00009614,0.0027241,-0.00050877
