x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature
30,30,-0.41529468,-4.13914537,-0.41034701,-4.13376284,0.9973473,3,0.00033266,49
32,30,-0.41534528,-4.14047623,-0.409428,-4.13507986,0.99749982,3,0.00037429,49
34,30,-0.41742101,-4.14184141,-0.40744787,-4.13732576,0.99756682,3,0.00069025,45
36,30,-0.41669556,-4.14200354,-0.40446353,-4.14100122,0.99753159,3,0.00049142,42
38,30,-0.41620618,-4.14339924,-0.40071708,-4.14612246,0.99742764,3,0.00056958,41
40,30,-0.41995832,-4.14532518,-0.40133268,-4.15556908,0.99722749,3,0.00048511,47
42,30,-0.42143115,-4.1471715,-0.40486252,-4.15213585,0.99711096,3,0.00045954,48
44,30,-0.4213416,-4.14733124,-0.40626302,-4.1552372,0.99702567,3,0.00053502,48
46,30,-0.4201608,-4.14658308,-0.40771505,-4.15741491,0.99710792,3,0.00068117,51
48,30,-0.42084664,-4.14608097,-0.41342717,-4.14713812,0.99724972,3,0.00042267,50
50,30,-0.41855651,-4.14922428,-0.41476116,-4.14834404,0.99732339,3,0.0002629,53
52,30,-0.42166543,-4.14998913,-0.41257665,-4.14845085,0.99734449,3,0.00034281,49
54,30,-0.42224646,-4.14972162,-0.41224763,-4.14952469,0.99737495,3,0.00050812,49
56,30,-0.42171827,-4.14922905,-0.41307965,-4.15020323,0.99735969,3,0.00066734,50
58,30,-0.42064843,-4.15146255,-0.42352632,-4.15186739,0.99737322,3,0.0005851,51
60,30,-0.42175815,-4.15311289,-0.419,-4.14950418,0.99732542,3,0.00047753,49
62,30,-0.42124468,-4.15311909,-0.41873017,-4.15356064,0.99742168,3,0.0005111,52
64,30,-0.4219017,-4.15437746,-0.41619632,-4.15218878,0.99735719,3,0.00024035,55
66,30,-0.42244902,-4.15457106,-0.41614756,-4.15301657,0.9971981,3,0.00029811,56
68,30,-0.42146465,-4.15600014,-0.42105672,-4.15102959,0.99709064,3,0.00050235,54
70,30,-0.42343074,-4.15851307,-0.42081043,-4.15779877,0.99714309,3,0.00044523,52
72,30,-0.42287222,-4.15917969,-0.42077383,-4.15907335,0.99705768,3,0.0002454,55
74,30,-0.4246181,-4.15868759,-0.42156348,-4.15872097,0.99720871,3,0.00049775,56
76,30,-0.42331892,-4.15842676,-0.4216736,-4.15953112,0.99711114,3,0.0004626,53
78,30,-0.42413333,-4.1608386,-0.42255798,-4.16102505,0.99706572,3,0.00036212,53
80,30,-0.42476416,-4.16180086,-0.42188716,-4.15788794,0.99702328,3,0.00038701,55
82,30,-0.42261311,-4.16202688,-0.42391175,-4.1559124,0.99701071,3,0.00025728,58
84,30,-0.42615122,-4.16300821,-0.42169151,-4.15856075,0.99694407,3,0.00042028,54
86,30,-0.42652839,-4.16289902,-0.42476311,-4.15469217,0.99693686,3,0.00022076,55
88,30,-0.42671391,-4.16430378,-0.42600837,-4.1553216,0.99690187,3,0.00016871,56
90,30,-0.42837077,-4.1638999,-0.42911828,-4.15885782,0.99695414,3,0.00029523,54
92,30,-0.42885923,-4.16317701,-0.4303889,-4.15585279,0.99689281,3,0.00026673,55
94,30,-0.42931494,-4.16206503,-0.43109137,-4.15432882,0.9969871,3,0.00028064,58
96,30,-0.43069229,-4.16149235,-0.43052164,-4.15484858,0.99693781,3,0.00035487,60
98,30,-0.43165758,-4.16219425,-0.43257353,-4.15608644,0.99691159,3,0.0002969,60
100,30,-0.43242022,-4.16269636,-0.43258104,-4.15960312,0.99674934,3,0.00027649,63
102,30,-0.43258628,-4.16250134,-0.43570244,-4.15925312,0.99680412,3,0.00025615,65
104,30,-0.43530545,-4.16217327,-0.43171883,-4.15903807,0.99683595,3,0.00021846,59
106,30,-0.43327266,-4.16122723,-0.4376272,-4.1528616,0.99690288,3,0.00035019,56
108,30,-0.43433151,-4.16361761,-0.43684027,-4.15567493,0.99687409,3,0.00040259,59
110,30,-0.43581882,-4.16330957,-0.43740356,-4.15583801,0.99693209,3,0.00033479,55
112,30,-0.4374994,-4.16289568,-0.4367927,-4.1469202,0.99692947,3,0.00027415,56
114,30,-0.43812215,-4.16356468,0.15771686,-5.59707308,0.99693316,8,0.0002072,8
116,30,-0.4393439,-4.16146803,-0.44449246,-4.14863968,0.99690497,3,0.00031786,55
118,30,-0.43822825,-4.16157866,-0.44310758,-4.14916706,0.99693811,3,0.00022299,56
120,30,-0.43997607,-4.16277504,-0.44227099,-4.15228701,0.99696499,3,0.00036242,58
122,30,-0.44104514,-4.1603117,-0.44579545,-4.15611935,0.99693912,3,0.00031468,62
124,30,-0.44438818,-4.16193962,-0.44802055,-4.15603781,0.99690109,3,0.00043869,57
126,30,-0.44338575,-4.16181803,-0.45445505,-4.15757942,0.99702913,3,0.00033382,59
128,30,-0.44236809,-4.16198349,-0.45491564,-4.15996838,0.99705201,3,0.00030772,58
130,30,-0.44335908,-4.16327524,-0.45571688,-4.15998268,0.99698687,3,0.00029635,56
