x,y,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,r2_x,r2_y,t1_x,t1_y,t2_x,t2_y,ref_x,ref_y,ref_z,tar_x,tar_y,tar_z,exx,eyy,ezz,exy,eyz,ezx
234,135,-4.04184341,-0.76217842,0.88442993,0.96850073,0.99491721,0.95749855,188.2503662,74.72184753,166.9600067,123.1402206,115.4577637,60.4112854,-37.60477829,-26.23824501,393.3672485,-41.6466217,-27.00042343,394.2516785,-0.0015749,-0.00211355,-0.05832024,-0.00481462,-0.02333627,-0.02186193
234,144,-4.03266907,-0.76305962,0.87860107,0.97191882,0.99503356,0.96278977,188.2015381,84.04255676,167.1051025,132.0861359,115.5844269,69.73632812,-37.60469055,-25.70654869,393.3648987,-41.63735962,-26.46960831,394.2434998,-0.00588725,-0.00186241,0.01785528,0.00846684,0.05169706,-0.02846305
234,153,-4.02384186,-0.76404762,0.88046265,0.97181445,0.99471194,0.9627524,188.1716003,93.30827332,167.2576904,141.0367889,115.6952591,79.01472473,-37.60427475,-25.17622948,393.3592529,-41.62811661,-25.9402771,394.2397156,-0.01263448,-0.00162354,0.37401003,0.01018812,0.06174982,-0.01422531
234,162,-4.01406097,-0.7663784,0.88006592,0.96996826,0.994331,0.96061832,188.1330872,102.6065521,167.4222412,149.9963226,115.8229904,88.26445007,-37.60403442,-24.64510345,393.3552246,-41.6180954,-25.41148186,394.2352905,-0.00840438,-0.00181386,0.5785889,0.0118146,0.06910017,0.01823631
234,171,-4.00322342,-0.76708984,0.87393188,0.96918684,0.99434155,0.96000588,188.0904846,111.9265595,167.5950012,158.9421387,115.9856339,97.59584045,-37.60383606,-24.11341667,393.3518982,-41.60705948,-24.88050652,394.2258301,-0.00609116,-0.00290699,0.65518624,0.00766104,0.0432393,0.03019542
234,180,-3.99189758,-0.76907921,0.87109375,0.96723473,0.99441284,0.958875,188.0574646,121.172287,167.7811737,167.885788,116.15448,106.8174667,-37.60351562,-23.58377075,393.347168,-41.59541321,-24.35284996,394.2182617,0.01240554,-0.00412706,0.55430627,-0.0014214,-0.00864815,0.06750555
234,189,-3.98016357,-0.77194786,0.87091064,0.97043198,0.99436402,0.96211231,188.0100708,130.4652405,167.97995,176.8188171,116.3065643,116.0722427,-37.60342026,-23.052948,393.3449707,-41.58358383,-23.82489586,394.2158814,0.02584253,-0.00462216,0.14015742,0.00389039,0.01950685,0.06026619
234,198,-3.96756363,-0.77441597,0.87033081,0.97232616,0.99441904,0.96420252,187.9248352,139.7921143,168.1934662,185.7554779,116.4389801,125.3712845,-37.6039772,-22.52153778,393.3494873,-41.57154083,-23.29595375,394.2198181,-0.01560334,-0.00473239,0.32071787,-0.00037804,-0.00546388,-0.03469268
234,207,-3.95402527,-0.77628708,0.8656311,0.97235858,0.99418801,0.96355671,187.8481903,149.1114807,168.4153137,194.6906891,116.6106567,134.6779938,-37.60439301,-21.99025726,393.3526917,-41.55841827,-22.76654434,394.2183228,-0.02072124,-0.0045017,0.19710267,0.0072428,0.03325144,-0.06046013
234,216,-3.93955231,-0.77913857,0.86346436,0.97142029,0.99372602,0.96286303,187.8281403,158.3967285,168.6554565,203.6260376,116.8450165,143.9202728,-37.60385132,-21.45940781,393.3454895,-41.54340363,-22.23854637,394.2089539,-0.00307461,-0.00526979,0.27329341,0.00228071,0.00686283,-0.01021704
234,225,-3.92369843,-0.78212166,0.85498047,0.97323734,0.99390584,0.96505547,187.849823,167.6980438,168.9071045,212.5379334,117.1658859,153.1871948,-37.60256958,-20.92778015,393.3311768,-41.52626801,-21.70990181,394.1861572,0.03011798,-0.00720503,0.28199115,-0.00793643,-0.04952692,0.07243961
234,234,-3.90768433,-0.78527069,0.85195923,0.97135371,0.99383461,0.96205336,187.7826233,176.9831848,169.1737061,221.464859,117.3841324,162.4275818,-37.60283661,-20.39741516,393.3327332,-41.51052094,-21.18268585,394.1846924,0.01989124,-0.00698062,0.35531318,-0.00114638,-0.01254422,0.05031065
234,243,-3.89128876,-0.78988838,0.85202026,0.96879619,0.99372131,0.95925802,187.7111511,186.2435913,169.4523163,230.3804779,117.593277,171.609314,-37.60319901,-19.86780548,393.3354187,-41.49448776,-20.65769386,394.187439,-0.00913735,-0.0069674,0.00945836,0.00139552,0.00197461,-0.05952584
234,252,-3.873909,-0.79286575,0.84835815,0.96798325,0.99372333,0.95798224,187.6494141,195.5413361,169.7403565,239.2995911,117.842804,180.8764954,-37.6033783,-19.33703613,393.3360291,-41.47728729,-20.12990189,394.1843872,-0.01418503,-0.00670842,0.22961178,-0.00022776,-0.0062337,-0.05343947
234,261,-3.85583496,-0.79626465,0.84490967,0.96566266,0.9927718,0.95455509,187.6316834,204.8803558,170.0397797,248.2166596,118.1462021,190.1720886,-37.60277557,-18.80475807,393.3287659,-41.45861053,-19.60102272,394.1736755,-0.0129859,-0.00544221,0.28110486,0.01362939,0.06386939,-0.04911165
234,270,-3.83720398,-0.7995472,0.83914185,0.96634459,0.99328071,0.95593446,187.5987244,214.1390991,170.3439331,257.136322,118.4529419,199.3858948,-37.60249329,-18.2748909,393.3244324,-41.43969727,-19.0744381,394.1635742,0.02694425,-0.00645129,-0.01341618,0.00705642,0.02456603,0.02218033
234,279,-3.81795502,-0.80361176,0.8352356,0.97018945,0.99361509,0.96040332,187.5658569,223.4311676,170.6632843,266.0432739,118.7638931,208.6217041,-37.60215759,-17.74410629,393.3201904,-41.42011261,-18.54771805,394.155426,-0.00067209,-0.00555939,-0.29059824,0.02131519,0.09913941,-0.07977549
