x,y,z,u,v,w,u0,v0,w0,ZNCC,iteration,convergence,feature,ux,uy,uz,vx,vy,vz,wx,wy,wz
35,35,60,0.07190081,0.02764753,-0.47604632,0,0,0,0.96990252,7,0.00068372,0,0.00047255,-0.00212999,-0.00017577,0.00154278,0.00031936,0.0021175,0.00091372,0.00741872,-0.01021385
40,35,60,0.067908,0.03154922,-0.47336492,0,0,0,0.96897256,6,0.00073548,0,0.00056243,-0.00250247,-0.00018765,0.00181601,-0.00073433,0.00227555,0.00130976,0.00784003,-0.00981432
45,35,60,0.05317708,0.04578524,-0.46746874,0,0,0,0.96778786,6,0.00045732,0,0.00255883,-0.00282113,0.00038264,0.00293407,-0.00206661,0.00308142,0.00033492,0.00822751,-0.00991827
50,35,60,0.06665579,0.05614322,-0.46048856,0,0,0,0.96697754,6,0.00050239,0,0.00384414,-0.00231612,0.00081359,0.0046941,-0.00373089,0.00386014,-0.00030905,0.00878487,-0.01009285
55,35,60,0.104524,0.06537387,-0.46147305,0,0,0,0.96711403,8,0.00076711,0,0.00280786,-0.00107573,0.00069681,0.00668962,-0.00592291,0.00459417,-0.00099554,0.00961049,-0.01071149
60,35,60,0.11840498,0.08956727,-0.47091269,0,0,0,0.96564054,7,0.00097149,0,0.0024792,-0.00147914,0.00093671,0.00570335,-0.00481164,0.00444875,-0.0013883,0.00901924,-0.01009232
65,35,60,0.12964666,0.11475215,-0.48175201,0,0,0,0.96417338,7,0.0005302,0,0.00258029,-0.00194163,0.00137162,0.00451738,-0.00316274,0.00411872,-0.00184368,0.00785035,-0.00972098
35,40,60,0.05811369,0.03092547,-0.44153407,0,0,0,0.97197908,6,0.00057786,0,0.00040758,-0.00220554,-0.00031157,0.00109001,0.00042105,0.00169278,0.00120355,0.00816944,-0.00930345
40,40,60,0.05157062,0.03560489,-0.43892938,0,0,0,0.97088563,6,0.00052075,0,0.0006696,-0.00270987,-0.00038934,0.00136659,-0.00019854,0.00191077,0.00139116,0.00833577,-0.0090251
45,40,60,0.04152744,0.04896895,-0.43465996,0,0,0,0.96956587,6,0.00050726,0,0.00265598,-0.00261243,0.00049715,0.00241768,-0.00096107,0.00278798,0.00048097,0.00845424,-0.00925231
50,40,60,0.05679588,0.06229359,-0.42964491,0,0,0,0.9684633,6,0.0006764,0,0.00388873,-0.00203252,0.0012514,0.00366881,-0.00148076,0.00354718,0.0000872,0.00864074,-0.00951087
55,40,60,0.08333766,0.07375059,-0.43074879,0,0,0,0.96832937,6,0.00069935,0,0.0036639,-0.00156161,0.00143037,0.00455172,-0.00223702,0.0039249,-0.00044194,0.00892206,-0.01011837
60,40,60,0.11191313,0.08227065,-0.43798828,0,0,0,0.96706605,7,0.00046772,0,0.00157607,-0.00054514,0.00136653,0.0047516,-0.00285906,0.00435043,-0.0015529,0.00921912,-0.01023543
65,40,60,0.12224832,0.10466105,-0.44978428,0,0,0,0.96539241,6,0.00082568,0,0.00157642,-0.00090351,0.00163401,0.00403435,-0.00214338,0.00417948,-0.00213833,0.00844965,-0.00984716
35,45,60,0.05053342,0.04155987,-0.40984976,0,0,0,0.97380054,6,0.00024847,0,0.00056076,-0.00176948,-0.00070324,0.00067095,0.00092542,0.00144726,0.00138021,0.00837708,-0.00842088
40,45,60,0.04413795,0.04445271,-0.40748608,0,0,0,0.97258151,6,0.00036153,0,0.00072503,-0.00222499,-0.00074824,0.00095521,0.00048447,0.00163586,0.00135646,0.00840322,-0.00819576
45,45,60,0.04731178,0.06041001,-0.40599295,0,0,0,0.97107506,6,0.00051458,0,0.00240588,-0.00129838,0.00093103,0.00206768,0.00030553,0.00283442,0.00046007,0.00816655,-0.00894445
50,45,60,0.06461084,0.07340767,-0.40293515,0,0,0,0.969836,6,0.00067407,0,0.00315809,-0.00053368,0.00175399,0.00299101,0.00023592,0.00355924,0.00023711,0.00809235,-0.00943595
55,45,60,0.08639698,0.08294097,-0.40625572,0,0,0,0.96960014,6,0.00056658,0,0.00291097,-0.00018198,0.001999,0.00338807,-0.00008774,0.00371777,-0.00019384,0.00804093,-0.01008028
60,45,60,0.10866486,0.09320284,-0.41269985,0,0,0,0.9682976,6,0.00051019,0,0.00150752,0.00028154,0.00206187,0.00316593,-0.00023073,0.00397808,-0.0011028,0.008159,-0.00995612
65,45,60,0.12448938,0.10612299,-0.42142659,0,0,0,0.96634459,6,0.00058838,0,0.00105715,0.00025126,0.00221195,0.00305115,-0.00047487,0.00402241,-0.00202629,0.00782648,-0.00984597
