x,y,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,r2_x,r2_y,t1_x,t1_y,t2_x,t2_y,ref_x,ref_y,ref_z,tar_y,tar_x,tar_z,exx,eyy,ezz,exy,eyz,ezx,
234.00000000,135.00000000,-4.11527252,-0.76832581,0.84420776,0.96850073,0.99491721,0.95749855,188.25036621,74.72184753,166.96000671,123.14022064,115.45776367,60.41128540,-38.28944397,-86.72103882,398.61538696,-42.40471649,-87.48936462,399.45959473,0.00523134,-0.00148644,-0.29928061,-0.00331512,-0.00672304,-0.02137201,
234.00000000,144.00000000,-4.10596848,-0.76965332,0.84317017,0.97191882,0.99503362,0.96278977,188.20153809,84.04255676,167.10510254,132.08613586,115.58442688,69.73632812,-38.27409744,-86.18365479,398.62954712,-42.38006592,-86.95330811,399.47271729,0.00631714,-0.00238181,0.03119454,-0.00155298,0.00010019,0.00889028,
234.00000000,153.00000000,-4.09682083,-0.77111816,0.85079956,0.97181445,0.99471194,0.96275240,188.17160034,93.30827332,167.25769043,141.03678894,115.69525909,79.01473236,-38.25913239,-85.64701080,398.63052368,-42.35595322,-86.41812897,399.48132324,0.00622010,-0.00347088,0.14923671,0.00433994,0.02985660,0.01849177,
234.00000000,162.00000000,-4.08752441,-0.77312469,0.84362793,0.96996826,0.99433100,0.96061832,188.13308716,102.60655212,167.42224121,149.99632263,115.82299042,88.26445007,-38.24388885,-85.10988617,398.63900757,-42.33141327,-85.88301086,399.48263550,0.00940496,-0.00296114,0.52169108,0.00115378,0.00837336,0.05983876,
234.00000000,171.00000000,-4.07641602,-0.77433777,0.84359741,0.96918684,0.99434155,0.96000582,188.09048462,111.92655945,167.59500122,158.94213867,115.98563385,97.59584045,-38.22848892,-84.57234192,398.65167236,-42.30490494,-85.34667969,399.49526978,0.00119492,-0.00333076,0.17769334,0.00135959,0.00699307,0.00349530,
234.00000000,180.00000000,-4.06506348,-0.77644348,0.84097290,0.96723473,0.99441284,0.95887500,188.05746460,121.17228699,167.78118896,167.88578796,116.15447998,106.81746674,-38.21383286,-84.03607178,398.64996338,-42.27889633,-84.81251526,399.49093628,0.00864190,-0.00345521,0.29596779,-0.00069302,-0.00548206,0.03465356,
234.00000000,189.00000000,-4.05338287,-0.77943420,0.84060669,0.97043198,0.99436402,0.96211231,188.01007080,130.46524048,167.97994995,176.81881714,116.30656433,116.07224274,-38.19886780,-83.49904633,398.65899658,-42.25225067,-84.27848053,399.49960327,0.01668750,-0.00443096,0.17499560,0.00049491,0.00539887,0.04180890,
234.00000000,198.00000000,-4.04088211,-0.78205109,0.84069824,0.97232616,0.99441904,0.96420252,187.92483521,139.79211426,168.19346619,185.75547791,116.43898010,125.37128448,-38.18411636,-82.96175385,398.68093872,-42.22499847,-83.74380493,399.52163696,-0.00076326,-0.00345362,0.28353915,-0.00077955,-0.01442507,-0.00097296,
234.00000000,207.00000000,-4.02719498,-0.78426361,0.83969116,0.97235858,0.99418801,0.96355671,187.84819031,149.11148071,168.41531372,194.69068909,116.61065674,134.67799377,-38.16932678,-82.42444611,398.70010376,-42.19652176,-83.20870972,399.53979492,-0.01101894,-0.00539382,0.09893106,0.00643824,0.02154271,-0.04745141,
234.00000000,216.00000000,-4.01282883,-0.78713989,0.83572388,0.97142029,0.99372602,0.96286303,187.82814026,158.39672852,168.65545654,203.62603760,116.84501648,143.92027283,-38.15401077,-81.88719177,398.70248413,-42.16683960,-82.67433167,399.53820801,-0.00782713,-0.00604010,0.00965186,0.00976228,0.04090307,-0.04844385,
234.00000000,225.00000000,-3.99679947,-0.79045105,0.83108521,0.97323734,0.99390584,0.96505547,187.84982300,167.69804382,168.90710449,212.53793335,117.16588593,153.18719482,-38.13774490,-81.34926605,398.70025635,-42.13454437,-82.13971710,399.53134155,0.01655632,-0.00581020,-0.23444907,0.00357371,0.01372244,-0.01054973,
234.00000000,234.00000000,-3.98081970,-0.79369354,0.82754517,0.97135371,0.99383509,0.96205336,187.78262329,176.98318481,169.17369080,221.46487427,117.38413239,162.42758179,-38.12324524,-80.81243134,398.71145630,-42.10406494,-81.60612488,399.53900146,0.01262084,-0.00688875,0.03398939,0.00673407,0.02769947,0.00128498,
234.00000000,243.00000000,-3.96466827,-0.79821014,0.82312012,0.96879619,0.99372137,0.95925802,187.71115112,186.24359131,169.45231628,230.38047791,117.59327698,171.60931396,-38.10911942,-80.27613831,398.71963501,-42.07378769,-81.07434845,399.54275513,0.02025040,-0.00869192,-0.21932387,0.01170656,0.06109459,-0.00418705,
234.00000000,252.00000000,-3.94709778,-0.80147552,0.82275391,0.96798325,0.99372333,0.95798230,187.64941406,195.54133606,169.74035645,239.29959106,117.84280396,180.87649536,-38.09438324,-79.73894501,398.73205566,-42.04148102,-80.54042053,399.55480957,0.00561195,-0.00533255,0.20830870,0.00071152,-0.00760844,-0.00321940,
234.00000000,261.00000000,-3.92902756,-0.80508423,0.82058716,0.96566266,0.99277186,0.95455509,187.63168335,204.88035583,170.03977966,248.21664429,118.14620209,190.17208862,-38.07836151,-79.20050049,398.74356079,-42.00738907,-80.00558472,399.56414795,0.00096976,-0.00616360,0.52780992,0.00583800,0.01315802,0.00864259,
234.00000000,270.00000000,-3.91027832,-0.80852509,0.81546021,0.96634465,0.99328071,0.95593441,187.59872437,214.13909912,170.34393311,257.13632202,118.45294189,199.38589478,-38.06362915,-78.66381073,398.74395752,-41.97390747,-79.47233582,399.55941772,-0.00303281,-0.00686639,0.41616705,0.00922358,0.03211483,-0.01622418,
234.00000000,279.00000000,-3.89097977,-0.81275177,0.81243896,0.97018945,0.99361503,0.96040332,187.56585693,223.43116760,170.66328430,266.04327393,118.76389313,208.62170410,-38.04845047,-78.12644196,398.75018311,-41.93943024,-78.93919373,399.56262207,-0.00155783,-0.00713793,0.69586432,0.01140311,0.04167755,0.01167109,
234.00000000,288.00000000,-3.87111664,-0.81674194,0.81088257,0.97306317,0.99429470,0.96477985,187.54287720,232.74108887,170.99317932,274.95440674,119.08984375,217.88217163,-38.03290558,-77.58857727,398.75772095,-41.90402222,-78.40531921,399.56860352,0.02055464,-0.00704236,0.52846998,0.00816728,0.02685273,0.05283865,
234.00000000,297.00000000,-3.85025024,-0.82080078,0.79837036,0.97554177,0.99534881,0.96814120,187.50291443,241.98362732,171.33560181,283.87310791,119.43910217,227.04815674,-38.01847458,-77.05228424,398.75683594,-41.86872482,-77.87308502,399.55520630,0.03643218,-0.00577248,0.81756091,0.00173405,-0.00504528,0.11800946,
234.00000000,306.00000000,-3.82944107,-0.82422638,0.79702759,0.97625226,0.99540335,0.96907687,187.44058228,251.31274414,171.68185425,292.79464722,119.74332428,236.33917236,-38.00337219,-76.51425171,398.77499390,-41.83281326,-77.33847809,399.57202148,0.02981495,-0.00473732,0.51430261,-0.00029698,-0.01438494,0.06979411,
234.00000000,315.00000000,-3.80805969,-0.82800293,0.79986572,0.97398257,0.99514037,0.96662956,187.37847900,260.61837769,172.04440308,301.71221924,120.04273224,245.60363770,-37.98854828,-75.97666931,398.78906250,-41.79660797,-76.80467224,399.58892822,-0.00147543,-0.00463852,0.68206412,0.00264367,-0.01581931,0.00465674,
