x,y,u0,v0,u,v,exx,eyy,exy,zncc,iteration,convergence,feature,
30.00000000,30.00000000,-0.41057914,-4.13041878,-0.42084822,-4.14300060,0.00000000,0.00000000,0.00000000,0.99735820,3.00000000,0.00070547,50.00000000,
32.00000000,30.00000000,-0.40962136,-4.13285208,-0.41938424,-4.14488554,0.00000000,0.00000000,0.00000000,0.99750829,3.00000000,0.00053523,50.00000000,
34.00000000,30.00000000,-0.40765107,-4.13469362,-0.42081624,-4.14676189,0.00000000,0.00000000,0.00000000,0.99757981,4.00000000,0.00019422,46.00000000,
36.00000000,30.00000000,-0.40439600,-4.13892317,-0.41957271,-4.14821148,0.00000000,0.00000000,0.00000000,0.99754077,3.00000000,0.00056901,43.00000000,
38.00000000,30.00000000,-0.40051273,-4.14396667,-0.42275348,-4.14944792,0.00000000,0.00000000,0.00000000,0.99743623,3.00000000,0.00074276,42.00000000,
40.00000000,30.00000000,-0.40118083,-4.15395641,-0.42058909,-4.14766836,0.00000000,0.00000000,0.00000000,0.99723011,3.00000000,0.00076497,48.00000000,
42.00000000,30.00000000,-0.40472862,-4.15050316,-0.42149377,-4.14555168,0.00000000,0.00000000,0.00000000,0.99711651,3.00000000,0.00071366,49.00000000,
44.00000000,30.00000000,-0.40612870,-4.15349531,-0.42174095,-4.14456654,0.00000000,0.00000000,0.00000000,0.99703246,3.00000000,0.00071363,49.00000000,
46.00000000,30.00000000,-0.40761128,-4.15560627,-0.42468840,-4.14530373,0.00000000,0.00000000,0.00000000,0.99711257,4.00000000,0.00022176,52.00000000,
48.00000000,30.00000000,-0.41328925,-4.14530325,-0.42474619,-4.14543533,0.00000000,0.00000000,0.00000000,0.99726552,3.00000000,0.00073218,51.00000000,
50.00000000,30.00000000,-0.41461119,-4.14651108,-0.42803237,-4.13937616,0.00000000,0.00000000,0.00000000,0.99734795,3.00000000,0.00078673,54.00000000,
52.00000000,30.00000000,-0.41251370,-4.14645863,-0.42530423,-4.14102030,0.00000000,0.00000000,0.00000000,0.99736327,3.00000000,0.00071507,50.00000000,
54.00000000,30.00000000,-0.41222319,-4.14739180,-0.42410263,-4.14140129,0.00000000,0.00000000,0.00000000,0.99738848,3.00000000,0.00084878,50.00000000,
56.00000000,30.00000000,-0.41310322,-4.14821243,-0.42297831,-4.14482737,0.00000000,0.00000000,0.00000000,0.99736691,4.00000000,0.00027543,51.00000000,
58.00000000,30.00000000,-0.42305604,-4.14959192,-0.42559183,-4.14422989,0.00000000,0.00000000,0.00000000,0.99738449,3.00000000,0.00064049,52.00000000,
60.00000000,30.00000000,-0.41855291,-4.14735365,-0.42252687,-4.14525938,0.00000000,0.00000000,0.00000000,0.99733311,3.00000000,0.00056790,50.00000000,
62.00000000,30.00000000,-0.41836062,-4.15169239,-0.42421654,-4.15170670,0.00000000,0.00000000,0.00000000,0.99743074,3.00000000,0.00089763,53.00000000,
64.00000000,30.00000000,-0.41615251,-4.15040064,-0.42429745,-4.15371561,0.00000000,0.00000000,0.00000000,0.99736279,3.00000000,0.00032188,56.00000000,
66.00000000,30.00000000,-0.41609371,-4.15136766,-0.42342508,-4.15865660,0.00000000,0.00000000,0.00000000,0.99720687,3.00000000,0.00045299,57.00000000,
68.00000000,30.00000000,-0.42079729,-4.14940405,-0.42571774,-4.16035557,0.00000000,0.00000000,0.00000000,0.99709588,3.00000000,0.00065923,55.00000000,
70.00000000,30.00000000,-0.42069697,-4.15555954,-0.42395085,-4.15809202,0.00000000,0.00000000,0.00000000,0.99715805,3.00000000,0.00064116,53.00000000,
72.00000000,30.00000000,-0.42068154,-4.15732765,-0.42279553,-4.15841150,0.00000000,0.00000000,0.00000000,0.99706852,3.00000000,0.00052114,56.00000000,
74.00000000,30.00000000,-0.42156842,-4.15871954,-0.42549878,-4.16284132,0.00000000,0.00000000,0.00000000,0.99723464,3.00000000,0.00085025,56.00000000,
76.00000000,30.00000000,-0.42167893,-4.15953112,-0.42773280,-4.16454649,0.00000000,0.00000000,0.00000000,0.99711758,3.00000000,0.00057727,53.00000000,
78.00000000,30.00000000,-0.42256254,-4.16102552,-0.42791891,-4.16279078,0.00000000,0.00000000,0.00000000,0.99707568,3.00000000,0.00044759,53.00000000,
80.00000000,30.00000000,-0.42189091,-4.15788937,-0.42680678,-4.16182423,0.00000000,0.00000000,0.00000000,0.99702674,3.00000000,0.00057096,55.00000000,
